Module positions 0 created on Fri 2 Aug 2013 10:19:29 BST ###
Printed by Pcbnew version pcbnew (2013-mar-13)-testing      
Unit = mm, Angle = deg.      
Side : Front         
Ref Val Package PosX PosY Rot Side     
R22 10k SM0603_Resistor 67.9501 -156.9009 270 Front     
R23 10k SM0603_Resistor 127.8509 -41.9506 180 Front     
R24 10k SM0603 124.3508 -62.1995 0 Front     
R25 33R SM0603 131.2494 -80.4012 270 Front     
R26 33R SM0603 65.6996 -157.099 90 Front     
R27 4k7 SM0603 71.9988 -153.0756 90 Front     
R28 4k7 SM0603 124.4752 -83.4238 270 Front     
R29 33R SM0603 69.2506 -115.4989 180 Front     
R30 33R SM0603 66.3499 -60.1497 180 Front     
R31 33R SM0603 69.1998 -144.4498 180 Front     
R32 33R SM0603 68.9 -87.1499 180 Front     
R33 33R SM0603 80.0989 -150.6499 270 Front     
R34 33R SM0603 91.6991 -58.4505 180 Front     
R35 33R SM0603 107.95 -150.9497 270 Front     
R36 33R SM0603 119.4003 -58.3006 180 Front     
R37 33R SM0603 107.4496 -74.5998 270 Front     
R38 33R SM0603 107.4496 -46.0502 270 Front     
R39 33R SM0603 107.249 -132.0013 270 Front     
R40 33R SM0603 107.4496 -102.4001 270 Front     
R41 33R SM0603 69.6493 -127.5994 270 Front     
R42 68k SM0603_Resistor 60.6044 -103.9444 180 Front     
R43 100k SM0603_Resistor 58.2549 -103.0961 90 Front     
R44 433R SM0603 89.6493 -137.1498 0 Front     
R45 433R SM0603 84.5998 -132.6998 0 Front     
R46 433R SM0603 75.0494 -149.9489 270 Front     
R47 433R SM0603 69.1998 -146.1491 180 Front     
R48 2R2 SM0603_Resistor 88.0008 -144.4498 90 Front     
R49 433R SM0603 89.5502 -108.651 0 Front     
R50 433R SM0603 84.549 -104.1502 0 Front     
R51 433R SM0603 75.3999 -121.6 270 Front     
R52 433R SM0603 69.2506 -117.0508 180 Front     
R53 2R2 SM0603_Resistor 87.7011 -115.6005 90 Front     
R54 33R SM0603 94.6988 -118.3996 180 Front     
R55 68k SM0603_Resistor 57.15 -148.1506 180 Front     
R56 100k SM0603_Resistor 54.8005 -147.3022 90 Front     
R57 433R SM0603 117.1499 -136.6495 0 Front     
R58 433R SM0603 112.4509 -132.4508 0 Front     
R59 433R SM0603 103.3501 -150.4493 270 Front     
R60 433R SM0603 96.7994 -145.001 180 Front     
R61 2R2 SM0603_Resistor 115.9002 -144.6505 90 Front     
R62 433R SM0603 117.3988 -108.6002 0 Front     
R63 433R SM0603 112.4509 -104.201 0 Front     
R64 433R SM0603 102.1512 -121.3993 270 Front     
R65 433R SM0603 97.249 -116.2507 180 Front     
R66 2R2 SM0603_Resistor 115.8494 -115.8011 90 Front     
R67 33R SM0603 69.7992 -70.6501 90 Front     
R68 68k SM0603_Resistor 65.7987 -41.5061 180 Front     
R69 100k SM0603_Resistor 63.4492 -40.6578 90 Front     
R70 433R SM0603 89.601 -80.4494 0 Front     
R71 433R SM0603 84.3001 -76.2 0 Front     
R72 433R SM0603 75.8012 -94.0511 270 Front     
R73 433R SM0603 68.9 -88.6511 180 Front     
R74 2R2 SM0603_Resistor 87.95 -87.1474 90 Front     
R75 433R SM0603 89.3496 -51.6992 0 Front     
R76 433R SM0603 83.4492 -46.2509 90 Front     
R77 433R SM0603 75.4507 -64.45 270 Front     
R78 433R SM0603 69.0499 -60.1497 180 Front     
R79 2R2 SM0603_Resistor 88.5495 -59.4995 90 Front     
R80 33R SM0603 93.8505 -61.8007 180 Front     
R81 68k SM0603_Resistor 60.5942 -90.584 180 Front     
R82 100k SM0603_Resistor 58.0517 -89.7026 90 Front     
R83 433R SM0603 116.901 -51.5493 0 Front     
R84 433R SM0603 111.3003 -46.1493 90 Front     
R85 433R SM0603 103.2993 -64.6506 270 Front     
R86 433R SM0603 97.5004 -59.751 180 Front     
R87 2R2 SM0603_Resistor 115.6487 -58.9991 90 Front     
R88 433R SM0603 117.0508 -80.2005 0 Front     
R89 433R SM0603 112.1512 -75.25 90 Front     
R90 433R SM0603 104.0003 -93.7997 270 Front     
R91 433R SM0603 97.575 -88.325 180 Front     
R92 2R2 SM0603_Resistor 115.6995 -87.1474 90 Front     
R93 1k SM0603 128.6256 -109.126 0 Front     
R94 433R SM0603 128.651 -106.6749 0 Front     
R95 0R1 SM0805 136.8196 -94.201 180 Front     
R96 0R1 SM0805 52.4739 -111.0005 180 Front     
R97 0R1 SM0805 47.9806 -155.2296 180 Front     
R98 0R1 SM0805 56.6699 -48.7299 0 Front     
R99 0R1 SM0805 52.1691 -97.6503 180 Front     
R100 10k SM0603 123.6 -132.74 90 Front     
R101 433R SM0603 103.3755 -130.6246 180 Front     
R102 433R SM0603 75.7504 -131.125 180 Front     
R103 433R SM0603 92.649 -109.7509 270 Front     
R104 433R SM0603 104.0257 -102.2248 90 Front     
R105 433R SM0603 75.8012 -73.7997 180 Front     
R106 433R SM0603 93.2993 -51.0997 270 Front     
R107 433R SM0603 103.9012 -44.7243 90 Front     
R108 433R SM0603 103.4745 -73.5508 180 Front     
R109 33R SM0603 65.6311 -137.541 90 Front     
R110 33R SM0603 63.9597 -137.5308 90 Front     
R111 3k SM0603 66.5988 -29.6494 180 Front     
U1 APX803-SR SOT23-3 68.2498 -102.6973 90 Front     
U2 NC7WZ17 SC70-6 53.2257 -71.2495 270 Front     
U3 ASE_CLK_25MHz ASEseries 54.6506 -66.101 180 Front     
U4 LT3480 10DFN 133.5659 -152.3263 180 Front     
U5 SN74CBTD3861 24-TSSOP 50.099 -43.7007 0 Front     
U6 APX803-SR SOT23-3 73.1495 -102.6973 90 Front     
U7 NC7WZ17 SC70-6 64.5998 -75.0494 270 Front     
U8 NC7WZ17 SC70-6 92.1487 -68.9483 270 Front     
U9 NC7WZ17 SC70-6 94.0994 -126.3498 270 Front     
U10 NC7WZ17 SC70-6 65.0011 -132.1511 270 Front     
U11 74AHC1GU04 SOT25-5 43.5508 -37.0992 270 Front     
U12 SN74LVC1G18 SC-70W 99.4994 -35.1003 0 Front     
U13 SN74LVC1G18 SC-70W 134.0993 -49.2506 270 Front     
U14 SN74LVC1G18 SC-70W 99.5502 -157.0507 180 Front     
U15 SN74LVC1G18 SC-70W 43.5 -45.0012 180 Front     
U16 SN74CBTD3861 24-TSSOP 66.2 -34.9504 90 Front     
U17 NCP1529 SOT23-5 131.8743 -98.8771 90 Front     
U18 A6RS-161RF A6RS-SWITCH 134.0993 -36.3499 180 Front     
U19 NC7WZ17 SC70-6 126.9492 -84.2493 0 Front     
U20 NC7WZ07 SC70-6 129.4511 -84.2493 0 Front     
U21 NC7WZ17 SC70-6 131.8997 -84.2493 0 Front     
U22 NC7WZ17 SC70-6 69.8017 -153.0502 180 Front     
U23 NC7WZ07 SC70-6 67.4522 -153.0502 180 Front     
U24 NC7WZ17 SC70-6 65.0519 -153.0502 180 Front     
U25 YC124 YC124-JR 71.0006 -111.3003 90 Front     
U26 YC124 YC124-JR 69.6011 -54.3992 270 Front     
U27 YC124 YC124-JR 72.4992 -139.7508 90 Front     
U28 YC124 YC124-JR 70.8762 -82.8497 90 Front     
U29 YC124 YC124-JR 78.801 -147.5511 0 Front     
U30 YC124 YC124-JR 88.2498 -56.4007 90 Front     
U31 YC124 YC124-JR 106.7003 -147.5003 0 Front     
U32 YC124 YC124-JR 119.2505 -56.4007 270 Front     
U33 YC124 YC124-JR 108.6993 -77.7494 0 Front     
U34 YC124 YC124-JR 108.6993 -49.4741 0 Front     
U35 YC124 YC124-JR 108.6993 -134.6987 0 Front     
U36 YC124 YC124-JR 108.6993 -105.6488 0 Front     
U37 NC7WZ17 SC70-6 65.0011 -127.8992 270 Front     
U38 NC7WZ17 SC70-6 65.0011 -121.8489 270 Front     
U39 NCP1529 SOT23-5 56.7563 -106.2939 270 Front     
U40 XS1_L2-QFN124 L2_QFN124 79.7992 -141.2494 0 Front     
U41 XS1_L2-QFN124 L2_QFN124 79.7992 -112.8039 0 Front     
U42 NC7WZ17 SC70-6 94.0994 -120.65 270 Front     
U43 NC7WZ17 SC70-6 94.0994 -122.9512 270 Front     
U44 NCP1529 SOT23-5 53.3019 -150.5001 270 Front     
U45 XS1_L2-QFN124 L2_QFN124 107.6985 -141.2519 0 Front     
U46 XS1_L2-QFN124 L2_QFN124 107.6985 -112.8065 0 Front     
U48 NC7WZ17 SC70-6 64.5998 -64.3509 270 Front     
U49 NCP1529 SOT23-5 61.9506 -43.8556 270 Front     
U50 XS1_L2-QFN124 L2_QFN124 79.8017 -84.3432 0 Front     
U51 XS1_L2-QFN124 L2_QFN124 79.8017 -55.9029 0 Front     
U52 NC7WZ17 SC70-6 92.1461 -63.848 270 Front     
U53 NC7WZ17 SC70-6 92.1461 -66.2 270 Front     
U54 NCP1529 SOT23-5 56.7461 -92.9335 270 Front     
U55 XS1_L2-QFN124 L2_QFN124 107.7011 -55.8978 0 Front     
U56 XS1_L2-QFN124 L2_QFN124 107.7011 -84.3509 0 Front     
U57 MX25L6445E SO8NL 124.325 -139.925 270 Front     
U58 NC7WZ17 SC70-6 64.991 -134.8308 180 Front     
## End          
